ProfitRate,Time
1,2022-2-15 9:45
1.000568199,2022-2-15 10:00
1.003127784,2022-2-15 10:15
1.002361009,2022-2-15 10:30
1.002320929,2022-2-15 10:45
1.001158782,2022-2-15 11:00
1.0008594,2022-2-15 11:15
0.999450714,2022-2-15 11:30
0.999143598,2022-2-15 13:15
0.996850827,2022-2-15 13:30
0.996688978,2022-2-15 13:45
0.995117369,2022-2-15 14:00
0.994960427,2022-2-15 14:15
0.994292573,2022-2-15 14:30
0.995468117,2022-2-15 14:45
0.996827815,2022-2-15 15:00
0.995358483,2022-2-16 9:45
0.997694179,2022-2-16 10:00
0.997310136,2022-2-16 10:15
0.994971977,2022-2-16 10:30
0.99435997,2022-2-16 10:45
0.994081607,2022-2-16 11:00
0.99599453,2022-2-16 11:15
0.995564146,2022-2-16 11:30
0.994850845,2022-2-16 13:15
0.993122035,2022-2-16 13:30
0.993422523,2022-2-16 13:45
0.992997395,2022-2-16 14:00
0.990713047,2022-2-16 14:15
0.990713047,2022-2-16 14:30
0.990713047,2022-2-16 14:45
0.990713047,2022-2-16 15:00
0.990713047,2022-2-17 9:45
0.990713047,2022-2-17 10:00
0.990713047,2022-2-17 10:15
0.990713047,2022-2-17 10:30
0.990713047,2022-2-17 10:45
0.990713047,2022-2-17 11:00
0.9914664,2022-2-17 11:15
0.991612077,2022-2-17 11:30
0.99347647,2022-2-17 13:15
0.992820905,2022-2-17 13:30
0.993355526,2022-2-17 13:45
0.993413443,2022-2-17 14:00
0.993047621,2022-2-17 14:15
0.993193164,2022-2-17 14:30
0.992786498,2022-2-17 14:45
0.992704776,2022-2-17 15:00
0.991204206,2022-2-18 9:45
0.992489059,2022-2-18 10:00
0.993397168,2022-2-18 10:15
0.990787935,2022-2-18 10:30
0.990573793,2022-2-18 10:45
0.990434249,2022-2-18 11:00
0.990134551,2022-2-18 11:15
0.99010482,2022-2-18 11:30
0.991654265,2022-2-18 13:15
0.991361518,2022-2-18 13:30
0.990459946,2022-2-18 13:45
0.989877687,2022-2-18 14:00
0.988970781,2022-2-18 14:15
